run_id,stage,stub,task_id,n_cells,directional_agreement,spearman_rho,pearson_r,pearson_r_within_outcomes,rmse_pp,r_adj,rmse_adj,cal_alpha,cal_beta,shrinkage_factor,vs_no_effect_floor_directional,vs_no_effect_floor_rmse,vs_all_positive_directional,vs_all_positive_rmse,leak_verdict,note,parser_version
20260815-rehearsal-02,rehearsal,True,goldwert2026,204,0.625,0.0567029618128648,0.0912655921158973,0.1175582622780385,3.3083487766073074,0.1086154921971845,2.9157153066023414,1.8640865200447825,0.2168079539251531,0.8568270058798381,0.125,0.1973775363888164,-0.159313725490196,-0.2618148538769902,CLEAN,"REHEARSAL scripted answers - NOT a prediction; model=rehearsal-model-v1; draws=2; whole, 1 part(s); in_slope=False; positive_control=LEAK; recognition=UNRECOGNISED",959d53386514
20260815-rehearsal-02,rehearsal,True,vlasceanu2024,165,0.5818181818181818,-0.0248583933227137,0.0197830965468758,0.1041929325988339,4.518829985535427,0.0252405497914014,4.107339582794759,3.5539138798140346,0.0518755780691508,1.0052658160608157,0.0818181818181817,0.1636563470763921,-0.3515151515151515,-0.5468814480026816,CLEAN,"REHEARSAL scripted answers - NOT a prediction; model=rehearsal-model-v1; draws=2; whole, 1 part(s); in_slope=True; positive_control=LEAK; recognition=UNRECOGNISED",959d53386514
20260815-rehearsal-02,rehearsal,True,bbprime2025,408,0.4963235294117647,-0.0492205411475534,-0.0369667199319632,-0.0397486242612263,3.437484806148231,-0.0426809054113187,3.049618798278752,1.0318416738483662,-0.1018886366617241,0.2487435062640084,-0.0036764705882352,-0.1211892039646378,-0.0821078431372549,-0.2677971403809511,CLEAN,"REHEARSAL scripted answers - NOT a prediction; model=rehearsal-model-v1; draws=2; whole, 1 part(s); in_slope=True; positive_control=LEAK; recognition=UNRECOGNISED",959d53386514
20260815-rehearsal-02,rehearsal,True,voelkel2024,234,0.4273504273504273,0.0239731215639224,-0.0019334227390153,0.0568258389224487,2.906867528009925,-0.0020771844994102,2.8042080942438345,-1.0319626681685443,-0.0034020718545123,-0.352033135188812,-0.0726495726495726,-0.5749463266841679,0.0982905982905982,0.0096106271980187,CLEAN,"REHEARSAL scripted answers - NOT a prediction; model=rehearsal-model-v1; draws=2; split, 2 part(s); in_slope=True; positive_control=LEAK; recognition=UNRECOGNISED",959d53386514
20260815-rehearsal-03,rehearsal,True,voelkel2026,90,0.5555555555555556,-0.1964661286690209,-0.2180220240446765,-0.1972278601477042,2.0937880667605584,-0.3202017272961157,1.8091878306002915,1.3814984793001497,-0.2704168417494241,0.2484935561762473,0.0555555555555555,-0.2255210822167883,-0.2666666666666666,-0.6486995507544613,CLEAN,"REHEARSAL scripted answers - NOT a prediction; model=rehearsal-model-v1; draws=3; whole, 1 part(s); in_slope=True; positive_control=LEAK; recognition=UNRECOGNISED",unverified-duplicate-run-id
20260815-rehearsal-03,rehearsal,True,goldwert2026,204,0.625,0.0567029618128648,0.0912655921158973,0.1175582622780385,3.3083487766073074,0.1086154921971845,2.9157153066023414,1.8640865200447825,0.2168079539251531,0.8568270058798381,0.125,0.1973775363888164,-0.159313725490196,-0.2618148538769902,CLEAN,"REHEARSAL scripted answers - NOT a prediction; model=rehearsal-model-v1; draws=3; whole, 1 part(s); in_slope=False; positive_control=LEAK; recognition=UNRECOGNISED",unverified-duplicate-run-id
20260815-rehearsal-03,rehearsal,True,vlasceanu2024,165,0.5818181818181818,-0.0248583933227137,0.0197830965468758,0.1041929325988339,4.518829985535427,0.0252405497914014,4.107339582794759,3.5539138798140346,0.0518755780691508,1.0052658160608157,0.0818181818181817,0.1636563470763921,-0.3515151515151515,-0.5468814480026816,CLEAN,"REHEARSAL scripted answers - NOT a prediction; model=rehearsal-model-v1; draws=3; whole, 1 part(s); in_slope=True; positive_control=LEAK; recognition=UNRECOGNISED",unverified-duplicate-run-id
20260815-rehearsal-03,rehearsal,True,bbprime2025,408,0.4963235294117647,-0.0492205411475534,-0.0369667199319632,-0.0397486242612263,3.437484806148231,-0.0426809054113187,3.049618798278752,1.0318416738483662,-0.1018886366617241,0.2487435062640084,-0.0036764705882352,-0.1211892039646378,-0.0821078431372549,-0.2677971403809511,CLEAN,"REHEARSAL scripted answers - NOT a prediction; model=rehearsal-model-v1; draws=3; whole, 1 part(s); in_slope=True; positive_control=LEAK; recognition=UNRECOGNISED",unverified-duplicate-run-id
20260815-rehearsal-03,rehearsal,True,voelkel2024,234,0.4273504273504273,0.0239731215639224,-0.0019334227390153,0.0568258389224487,2.906867528009925,-0.0020771844994102,2.8042080942438345,-1.0319626681685443,-0.0034020718545123,-0.352033135188812,-0.0726495726495726,-0.5749463266841679,0.0982905982905982,0.0096106271980187,CLEAN,"REHEARSAL scripted answers - NOT a prediction; model=rehearsal-model-v1; draws=3; split, 2 part(s); in_slope=True; positive_control=LEAK; recognition=UNRECOGNISED",unverified-duplicate-run-id
20260815-rehearsal-03,rehearsal,True,voelkel2026,90,0.6777777777777778,0.1504620395296846,0.1313584272832077,-0.010488264619266,1.6772850808413415,0.1929217724460959,1.3047978311969324,1.0690218354004908,0.2224287217652325,0.8174092858874231,0.1777777777777778,0.1909819037024285,-0.1444444444444443,-0.2321965648352444,CLEAN,"REHEARSAL scripted answers - NOT a prediction; model=rehearsal-model-v1; draws=3; whole, 1 part(s); in_slope=True; positive_control=LEAK; recognition=UNRECOGNISED",959d53386514
